LAC GSW
time, diff
0.4, -2
0.816666666667, 1
1.15, -1
1.53333333333, 2
2.05, 0
3.1, -2
4.28333333333, -4
4.66666666667, -6
4.9, -4
5.73333333333, -6
6.36666666667, -4
6.91666666667, -2
6.91666666667, -3
7.41666666667, -1
7.85, -3
8.13333333333, -1
9.33333333333, 1
9.83333333333, 3
11.1666666667, 6
11.5, 4
11.5333333333, 6
11.5333333333, 5
11.9833333333, 4
12.2666666667, 6
13.15, 4
13.45, 6
14.2333333333, 8
14.6166666667, 7
15.2666666667, 9
15.6, 6
15.9166666667, 8
16.3, 6
17.1833333333, 8
17.1833333333, 7
17.8, 6
18.9666666667, 4
19.35, 1
20.25, -1
21.1833333333, 0
21.7333333333, 2
22.0833333333, -1
22.0833333333, 0
22.0833333333, 1
22.6166666667, -3
22.6166666667, -2
23.0666666667, -4
23.8, -2
23.8, -3
25.05, 0
25.9666666667, 2
26.1833333333, 1
26.1833333333, 0
26.4666666667, 2
27.25, 4
27.6333333333, 2
28.0333333333, 4
28.3666666667, 2
28.7, 4
29.1833333333, 7
29.1833333333, 6
29.65, 5
29.85, 8
30.4, 9
30.7333333333, 7
31.0833333333, 10
31.3166666667, 8
31.65, 9
31.9833333333, 10
32.3666666667, 8
32.4833333333, 9
32.8, 10
33.0833333333, 7
33.2, 8
34.0333333333, 5
34.3833333333, 8
34.6833333333, 6
34.9833333333, 4
34.9833333333, 5
35.2666666667, 6
35.3333333333, 5
36.0, 7
36.2333333333, 5
36.4666666667, 8
36.7666666667, 7
36.7666666667, 6
37.65, 4
38.4166666667, 1
39.1333333333, 3
39.5333333333, 1
39.8666666667, 2
39.8666666667, 3
41.15, 1
41.5833333333, 3
42.1166666667, 6
42.3833333333, 5
42.6166666667, 7
42.9833333333, 8
42.9833333333, 9
43.9333333333, 7
43.9333333333, 8
44.2666666667, 9
44.7, 11
45.3666666667, 13
45.7833333333, 15
46.4666666667, 17
47.1666666667, 19
47.35, 17
47.65, 19
47.65, 18
